seed,k,generation,best,mean,worst,std
3,20,0,15.51657508881031,17.57658070451365,19.966533331199933,1.0152686230936174
3,20,1,14.843559577416269,16.582835547512296,17.2343879744639,0.4478541369533889
3,20,2,14.843559577416269,16.225109612397716,16.776575213227446,0.37799621865639654
3,20,3,14.843559577416269,16.012159541821312,16.4591260281974,0.3520491366343625
3,20,4,14.526649916142159,15.884415908370508,16.239071942966532,0.3387822913167117
3,20,5,14.526649916142159,15.769294259391131,16.160107523773828,0.3349529479041444
3,20,6,14.513552872566004,15.648226322212718,16.02710574513201,0.3468658632193381
3,20,7,14.513552872566004,15.557489598935245,15.949358868961793,0.36083959159848056
3,20,8,14.513552872566004,15.432668504951852,15.835415650406262,0.35910729162862387
3,20,9,14.513552872566004,15.293341725450873,15.71084400165827,0.3211235179853638
3,20,10,14.513552872566004,15.176639941629453,15.639071942966531,0.2961448157961027
3,20,11,14.513552872566004,15.101363059610208,15.515167380558044,0.2682836950634179
3,20,12,14.513552872566004,15.033192097947362,15.430950643030009,0.2437892720118012
3,20,13,14.513552872566004,14.97531121074903,15.255294535724685,0.2192771751403804
3,20,14,14.488409872672513,14.896127887070739,15.190890230020663,0.20177479000075463
3,20,15,14.422497216032184,14.809764154367203,15.105547008526779,0.17991858321137957
3,20,16,14.2295630140987,14.738181361658006,14.981488772222677,0.1554047764697114
3,20,17,14.2295630140987,14.661097283745454,14.897366596101028,0.13632374460189078
3,20,18,14.2295630140987,14.590902217910994,14.713594362117865,0.08867722040565754
3,20,19,14.2295630140987,14.55508857647857,14.64355957741627,0.10469479595894048
3,20,20,14.2295630140987,14.517732978711814,14.640967364599087,0.10731155007921302
3,20,21,14.2295630140987,14.460991494576255,14.557583690279023,0.12801942938962987
3,20,22,14.2295630140987,14.39271500837504,14.557583690279023,0.13964381096812378
3,20,23,14.140175425099137,14.29031577363909,14.488409872672513,0.10497989638862608
3,20,24,14.140175425099137,14.226881386428708,14.2295630140987,0.015248380407577755
3,20,25,14.140175425099137,14.225987510538713,14.2295630140987,0.017516318590923712
3,20,26,14.140175425099137,14.22330588286873,14.2295630140987,0.02280697664031271
3,20,27,14.095445115010332,14.217495324427869,14.2295630140987,0.031512916441133354
3,20,28,14.095445115010332,14.208109262427024,14.2295630140987,0.039716726708404836
3,20,29,14.095445115010332,14.193806517875315,14.2295630140987,0.04645024623072182
3,20,30,14.095445115010332,14.168776532331874,14.2295630140987,0.04710086517770521
3,20,31,14.095445115010332,14.128992847576933,14.140175425099137,0.019368792428030544
3,20,32,14.095445115010332,14.115573754550294,14.140175425099137,0.02225304829812257
3,20,33,14.095445115010332,14.095445115010332,14.095445115010332,0.0
3,20,34,14.069535971483266,14.09518602357506,14.095445115010332,0.002577927231562316
3,20,35,14.069535971483266,14.09492693213979,14.095445115010332,0.003627280093789267
3,20,36,14.069535971483266,14.09492693213979,14.095445115010332,0.003627280093789267
3,20,37,14.069535971483266,14.09389056639871,14.095445115010332,0.006153080668450962
3,20,38,14.069535971483266,14.092854200657625,14.095445115010332,0.0077727430581198565
3,20,39,14.069535971483266,14.09104056061073,14.095445115010332,0.009732324113642792
3,20,40,14.069535971483266,14.088190554822754,14.095445115010332,0.011633176591564017
3,20,41,14.069535971483266,14.080676903199903,14.095445115010332,0.012826988709624289
3,20,42,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,43,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,44,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,45,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,46,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,47,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,48,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,49,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,50,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,51,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,52,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,53,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,54,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,55,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,56,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,57,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,58,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,59,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,60,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,61,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,62,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,63,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,64,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,65,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,66,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,67,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,68,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,69,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,70,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,71,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,72,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,73,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,74,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,75,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,76,14.069535971483266,14.069535971483266,14.069535971483266,0.0
3,20,77,14.069535971483266,14.069535971483266,14.069535971483266,0.0
