seed,k,generation,best,mean,worst,std
4,0,0,15.492838827718412,17.884444441727297,19.72795348811006,1.0831957845158526
4,0,1,15.492838827718412,16.820339407749557,17.900000000000002,0.6685619010930193
4,0,2,15.492838827718412,16.265291089271113,16.993468988235943,0.3948180265703584
4,0,3,15.31494416796099,16.07942855440314,16.57364413533277,0.3097377620213706
4,0,4,15.31494416796099,15.890810008500726,16.280697580112786,0.25517176999779323
4,0,5,15.190890230020663,15.782505885913466,16.157342370508886,0.21691631344788886
4,0,6,15.190890230020663,15.683984364377984,15.93469899493758,0.16923870805029312
4,0,7,15.190890230020663,15.623664575299303,15.86397674405503,0.14546247630288284
4,0,8,14.969817807045693,15.553062743309562,15.753720459187964,0.1311230959192382
4,0,9,14.969817807045693,15.48381193972521,15.669693845669906,0.15113029739082356
4,0,10,14.969817807045693,15.42734598472518,15.609975124224178,0.14236405309419875
4,0,11,14.969817807045693,15.367241313384934,15.524845673131658,0.12925880926557456
4,0,12,14.969817807045693,15.32188614582103,15.483266665599967,0.12434536687941854
4,0,13,14.969817807045693,15.274847837698433,15.409975124224179,0.1157738350914
4,0,14,14.969817807045693,15.242824291365144,15.387467277262665,0.10284274864781029
4,0,15,14.969817807045693,15.201080580355743,15.31494416796099,0.0945440901867436
4,0,16,14.969817807045693,15.169579214532012,15.307878402833891,0.08185864186511924
4,0,17,14.969817807045693,15.125141044506101,15.239607805437114,0.05748981905039445
4,0,18,14.969817807045693,15.096426810770863,15.179075450674064,0.04215606273102913
4,0,19,14.969817807045693,15.073490761158537,15.144994432064365,0.02758010346817535
4,0,20,14.969817807045693,15.067739530844065,15.077154105707724,0.028097868386500427
4,0,21,14.763976744055029,15.061792615480702,15.077154105707724,0.043428367685092915
4,0,22,14.763976744055029,15.055352437560977,15.077154105707724,0.0483523590782662
4,0,23,14.763976744055029,15.042513548539375,15.077154105707724,0.05412101614951406
4,0,24,14.763976744055029,15.000908279516132,15.077154105707724,0.052464615628289996
4,0,25,14.760681686165901,14.962674411185457,14.969817807045693,0.03576778454133425
