seed,k,generation,best,mean,worst,std
0,25,0,15.221904042583699,16.99139133538539,19.20509938737229,0.7850513329896819
0,25,1,15.221904042583699,16.346496006303514,16.90944739819828,0.4195940559783323
0,25,2,15.221904042583699,16.120921707011806,16.55277655408689,0.3417592181296868
0,25,3,15.221904042583699,15.998254314955838,16.391164991562633,0.3010101282253598
0,25,4,15.221904042583699,15.890735845512292,16.22574776766556,0.2502813802363926
0,25,5,15.221904042583699,15.806026439757375,16.114482300479487,0.22588063254340715
0,25,6,15.221904042583699,15.737726293662975,16.02883794381533,0.21776490203106105
0,25,7,15.221904042583699,15.665918262751426,15.935112807463533,0.1857459780334604
0,25,8,15.088435821108957,15.604446206639173,15.839387691339814,0.1758541715990884
0,25,9,15.088435821108957,15.577506551100837,15.790724809414742,0.170065434010028
0,25,10,15.088435821108957,15.537306381964605,15.742787793912433,0.16479385767213267
0,25,11,15.088435821108957,15.508681372936548,15.700000000000001,0.15705883928634842
0,25,12,15.088435821108957,15.47196357726257,15.672458299147443,0.15332466479407345
0,25,13,15.088435821108957,15.431515593677592,15.62763633939717,0.146617681769069
0,25,14,14.877902338672774,15.391932957701737,15.60263066836631,0.1556518702022708
0,25,15,14.877902338672774,15.357735467436123,15.58526217596215,0.1526620991042157
0,25,16,14.877902338672774,15.325858787248073,15.536664289109584,0.1440916142909421
0,25,17,14.877902338672774,15.27133973722456,15.432575659723035,0.14192255095595738
0,25,18,14.877902338672774,15.238072993640767,15.41916017074176,0.14038490874115675
0,25,19,14.607680962081059,15.181256228036908,15.356349099818896,0.14496515110516672
0,25,20,14.607680962081059,15.116473043082678,15.280350850198277,0.1277066060480944
0,25,21,14.457342370508885,15.04373513727897,15.221904042583699,0.13682698634416804
0,25,22,14.457342370508885,14.99110625158204,15.157342370508884,0.12111768206558118
0,25,23,14.457342370508885,14.917736170510038,15.077902338672773,0.09638130919843282
0,25,24,14.457342370508885,14.87099452522522,14.877902338672774,0.049509442586895464
0,25,25,14.457342370508885,14.862583325861943,14.877902338672774,0.07616852614323764
0,25,26,14.457342370508885,14.862583325861943,14.877902338672774,0.07616852614323764
0,25,27,14.457342370508885,14.862583325861943,14.877902338672774,0.07616852614323764
0,25,28,14.457342370508885,14.862583325861943,14.877902338672774,0.07616852614323764
0,25,29,14.457342370508885,14.862583325861943,14.877902338672774,0.07616852614323764
0,25,30,14.457342370508885,14.862583325861943,14.877902338672774,0.07616852614323764
0,25,31,14.457342370508885,14.862583325861943,14.877902338672774,0.07616852614323764
0,25,32,14.457342370508885,14.854172126498666,14.877902338672774,0.09492421869545963
0,25,33,14.457342370508885,14.84796800059444,14.877902338672774,0.1041430902318549
0,25,34,14.345207879911715,14.83843545632519,14.877902338672774,0.12161642063947493
0,25,35,14.345207879911715,14.823498484524105,14.877902338672774,0.1394816898545328
0,25,36,14.345207879911715,14.792824842549546,14.877902338672774,0.16738557790455522
0,25,37,14.345207879911715,14.726019549720577,14.877902338672774,0.20749668326435786
0,25,38,14.345207879911715,14.641697960571083,14.877902338672774,0.2180616397227791
0,25,39,14.345207879911715,14.44910349348429,14.700000000000001,0.0920593192469199
