seed,k,generation,best,mean,worst,std
4,20,0,15.492838827718412,17.884444441727297,19.72795348811006,1.0831957845158526
4,20,1,15.492838827718412,16.82043533618488,17.900000000000002,0.6685247028068276
4,20,2,15.020465053408525,16.22172178504575,16.877193921634788,0.4081128025560416
4,20,3,15.020465053408525,15.957628069277616,16.43130005674953,0.3161166515049982
4,20,4,15.020465053408525,15.812255068704598,16.183266665599966,0.2627024345964504
4,20,5,14.993737745050923,15.684050799257369,16.03390796058137,0.24973588345332856
4,20,6,14.993737745050923,15.581772348804856,15.911871208194288,0.22328105770850906
4,20,7,14.993737745050923,15.535037930704782,15.833907960581373,0.195708546769627
4,20,8,14.96619037896906,15.47176747939774,15.739071942966532,0.19279678869984146
4,20,9,14.96619037896906,15.42456484621375,15.663818169698587,0.18443987571231474
4,20,10,14.96619037896906,15.38501455409826,15.609975124224178,0.18179674735179915
4,20,11,14.96619037896906,15.321623936590468,15.524845673131658,0.1796916885169991
4,20,12,14.96619037896906,15.268803445083881,15.493737745050923,0.17785235480003161
4,20,13,14.86397674405503,15.189418320259863,15.409975124224179,0.1635085018874757
4,20,14,14.86397674405503,15.14456527495218,15.397366596101028,0.15122108828651828
4,20,15,14.86397674405503,15.094191449304716,15.311871208194287,0.12330479611311936
4,20,16,14.86397674405503,15.022093148600913,15.18910462845192,0.0657608302028388
4,20,17,14.86397674405503,14.983768548372543,15.020465053408525,0.02455351252051467
4,20,18,14.86397674405503,14.965119731537026,14.993737745050923,0.01277650570515772
4,20,19,14.86397674405503,14.961699430523407,14.96619037896906,0.014412746486320968
4,20,20,14.86397674405503,14.957965594590423,14.96619037896906,0.017314852141759617
4,20,21,14.86397674405503,14.951928766789278,14.96619037896906,0.0192428906178373
4,20,22,14.86397674405503,14.936039052593896,14.96619037896906,0.017179727828838205
4,20,23,14.86397674405503,14.922820211013084,14.948999599679679,0.009674528889766972
4,20,24,14.86397674405503,14.920026691992875,14.922497216032184,0.0057637421003398455
4,20,25,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,26,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,27,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,28,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,29,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,30,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,31,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,32,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,33,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,34,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,35,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,36,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,37,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,38,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,39,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,40,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,41,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,42,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,43,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,44,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,45,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,46,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,47,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,48,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,49,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,50,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,51,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,52,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,53,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,54,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,55,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,56,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,57,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,58,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,59,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,60,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,61,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,62,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,63,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,64,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,65,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,66,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,67,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,68,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,69,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,70,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,71,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,72,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,73,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,74,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,75,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,76,14.86397674405503,14.919245631131924,14.919803902718558,0.005554732151956787
4,20,77,14.86397674405503,14.918129087958652,14.919803902718558,0.009523399857891182
4,20,78,14.86397674405503,14.917012544785383,14.919803902718558,0.012167247145966379
4,20,79,14.86397674405503,14.91477945843884,14.919803902718558,0.015976714545858764
4,20,80,14.86397674405503,14.910313285745758,14.919803902718558,0.020970511892437465
4,20,81,14.86397674405503,14.901380940359592,14.919803902718558,0.026250640003365158
4,20,82,14.86397674405503,14.879050076894185,14.919803902718558,0.024784995080081234
4,20,83,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,84,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,85,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,86,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,87,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,88,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,89,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,90,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,91,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,92,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,93,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,94,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,95,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,96,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,97,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,98,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,99,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
4,20,100,14.86397674405503,14.863976744055032,14.86397674405503,1.7763568394002505e-15
