k,runs,mean_final_average,std_final_average,mean_final_best,std_final_best
0,5,14.361936456093256,0.6866254434706485,14.361936456093256,0.6866254434706507
5,5,14.174701217605232,0.6114000911137333,14.174701217605236,0.6114000911137351
10,5,14.18141472789652,0.6466908575261217,14.18141472789652,0.6466908575261215
15,5,14.09411082028815,0.5199152264529923,14.094110820288146,0.5199152264529926
20,5,14.201237434674818,0.6395290133024071,14.20123743467482,0.6395290133024075
25,5,14.077291016374886,0.5133607676222997,14.062300725367887,0.5424388074189076
30,5,14.186094520773816,0.6532566803178986,14.186094520773816,0.6532566803178982
35,5,14.100173987498703,0.4778246827408445,14.100173987498703,0.47782468274084294
40,5,14.153136432342617,0.496407909988292,14.15313643234262,0.4964079099882898
