seed,k,generation,best,mean,worst,std
1,5,0,16.067366884975474,18.11686716342819,20.15685424949238,0.7922769842256712
1,5,1,16.067366884975474,17.460525860160686,18.087761134463374,0.5139712456470921
1,5,2,15.12565782966318,17.19900083763548,17.75499667110372,0.5334678796221091
1,5,3,15.12565782966318,16.987243995330644,17.53984126734166,0.4823176995078018
1,5,4,15.12565782966318,16.830629627219874,17.37820925690384,0.4420396986678456
1,5,5,14.784336665618131,16.61764260001793,17.144616584663204,0.4414750807779649
1,5,6,14.784336665618131,16.481196823708295,16.968787265568828,0.41195941629172894
1,5,7,14.784336665618131,16.328224937886272,16.8293765408777,0.4200528905287407
1,5,8,14.784336665618131,16.1950544812661,16.645222154178573,0.3976386585497882
1,5,9,14.784336665618131,16.034662182951013,16.467491648096548,0.4225906584999356
1,5,10,14.784336665618131,15.887569786590147,16.361901286060018,0.44527782933629595
1,5,11,14.709361307176243,15.62139226973148,16.155592347112503,0.4588986709862692
1,5,12,14.709361307176243,15.22159987557687,15.861901286060018,0.3293062307607655
1,5,13,14.709361307176243,14.973991607456234,15.12565782966318,0.17494348129462142
1,5,14,14.709361307176243,14.857946470755051,15.12565782966318,0.15659347651225142
1,5,15,14.709361307176243,14.734103175462069,14.784336665618131,0.03525436706251506
1,5,16,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,17,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,18,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,19,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,20,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,21,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,22,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,23,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,24,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,25,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,26,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,27,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,28,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,29,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,30,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,31,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,32,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,33,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,34,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,35,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,36,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,37,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,38,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,39,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,40,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,41,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,42,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,43,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,44,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,45,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,46,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,47,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,48,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,49,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,50,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,51,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,52,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,53,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,54,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,55,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,56,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,57,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,58,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,59,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,60,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,61,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,62,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,63,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,64,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,65,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,66,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,67,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,68,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,69,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,70,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,71,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,72,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,73,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,74,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,75,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,76,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,77,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,78,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,79,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,80,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,81,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,82,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,83,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,84,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,85,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,86,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,87,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,88,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,89,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,90,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,91,14.709361307176243,14.709361307176243,14.709361307176243,0.0
1,5,92,14.709361307176243,14.709361307176243,14.709361307176243,0.0
